,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200731,19000,22950,18450,20750,4598283
20200730,20500,22200,18450,19800,6704667
20200729,16500,18900,16500,18900,1653934
20200728,16500,18000,16150,17450,1566555
20200727,17000,19500,16000,17150,2798521
20200724,14250,17800,14050,15950,23229747
20200723,13000,14950,11750,13700,28475056
20200722,8840,11500,8430,11500,12832520
20200721,8320,9090,8230,8870,3953953
20200720,8110,8170,7980,8040,301483
20200717,7860,8090,7840,8030,412626
20200716,7880,7940,7710,7880,309064
20200715,8130,8140,7880,7880,343950
20200714,7940,8170,7870,8050,502218
20200713,7940,8010,7830,7940,353406
20200710,7600,8070,7560,7940,942686
20200709,7760,7790,7560,7610,341121
20200708,7780,7830,7570,7770,447531
20200707,7930,7930,7700,7750,470253
20200706,7990,8060,7850,7950,481717
20200703,8090,8140,7970,8030,248351
20200702,8030,8250,7930,8000,553779
20200701,8230,8420,7980,8010,1323973
20200630,7700,8040,7700,8000,586287
20200629,7950,8000,7620,7630,535734
20200626,8270,8270,7970,8040,372679
20200625,8110,8200,7960,8160,565222
20200624,8030,8560,8030,8140,1695723
20200623,8140,8220,7870,7960,722276
20200622,8370,8600,8130,8190,1062895
20200619,8220,8500,7820,8270,1260386
20200618,8600,8770,8100,8180,1425496
20200617,8830,8900,8210,8280,1293474
20200616,8870,8970,8400,8860,1449788
20200615,9100,9450,8200,8640,5092678
20200612,7910,8880,7720,8570,4569871
20200611,7890,8800,7830,8150,4913124
20200610,7850,7980,7660,7800,1244164
20200609,7540,7850,7360,7780,1367092
20200608,7350,7950,7280,7610,4884980
20200605,7070,7240,7020,7190,359607
20200604,7210,7290,6990,7060,329057
20200603,7440,7450,7140,7140,554246
20200602,7240,7360,7150,7300,540608
20200601,7200,7400,7070,7210,1312908
20200529,6830,6970,6790,6900,220894
20200528,7020,7150,6710,6920,516331
20200527,7150,7220,6980,6980,506117
20200526,7160,7220,7070,7150,591523
20200525,7110,7300,7040,7160,1482945
20200522,6760,7160,6750,7010,1854501
20200521,6910,6920,6700,6790,265663
20200520,6830,6930,6730,6800,522548
