,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200731,15950,16150,15650,16050,267459
20200730,16150,16400,16000,16050,216146
20200729,16000,16300,15850,16150,171812
20200728,16500,16550,16000,16050,358892
20200727,16300,16600,16250,16550,283733
20200724,16050,16400,15800,16250,291420
20200723,16400,16400,15950,16100,339158
20200722,16500,16650,16350,16400,215543
20200721,16900,16900,16300,16450,637115
20200720,16950,17100,16750,16900,323521
20200717,17100,17250,16900,16950,255116
20200716,17350,17400,16900,17100,391855
20200715,17150,17600,17000,17400,611752
20200714,16900,17200,16650,17100,513235
20200713,16900,16950,16650,16950,786222
20200710,16800,17150,16550,16800,718158
20200709,17150,17400,16800,16800,763256
20200708,16800,17450,16700,17150,1092309
20200707,16800,16900,16450,16750,523286
20200706,16150,17550,15950,16800,1880880
20200703,16150,16200,15900,16150,277088
20200702,16050,16200,15900,16150,299448
20200701,15700,16300,15600,16000,473317
20200630,15750,16000,15500,15600,292755
20200629,15900,16050,15450,15650,343982
20200626,16300,16450,15850,16200,323534
20200625,15900,16500,15800,16300,564319
20200624,16300,16700,16000,16350,412195
20200623,15900,16750,15800,16250,614567
20200622,15300,16100,15300,15900,487530
20200619,15650,15750,15300,15350,363946
20200618,14900,15850,14900,15550,452772
20200617,15200,15400,14800,15000,365691
20200616,14500,15500,14500,15250,452824
20200615,15200,15350,14100,14150,699318
20200612,15500,15950,15150,15500,1090199
20200611,16500,16900,16200,16500,2284676
20200610,16250,16500,16100,16500,671400
20200609,15950,16350,15900,16200,931683
20200608,15600,15850,15400,15850,286050
20200605,15650,15700,15250,15600,274768
20200604,15550,15900,15200,15500,480936
20200603,15950,16000,15300,15400,607363
20200602,16200,16400,15500,15950,1192664
20200601,15450,16650,15150,16600,1725991
20200529,14350,15600,14100,15500,1026098
20200528,15300,15850,14500,14900,847409
20200527,15850,15900,15000,15200,594125
20200526,15650,16750,15400,16000,957922
20200525,15650,15800,15250,15650,265162
20200522,15550,15900,15300,15700,487883
20200521,15400,15650,15150,15550,366165
20200520,14600,15950,14600,15400,878244
20200519,14150,15050,14150,15000,945469
20200518,13850,14700,13800,14100,969485
