,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200731,54100,54500,53200,53500,99169
20200730,53700,55200,53600,54200,130708
20200729,52500,54200,52500,53900,84171
20200728,53600,54000,53000,53100,84062
20200727,53000,53800,52700,53800,68087
20200724,52000,53500,51600,53400,98751
20200723,53400,53600,52200,52300,124447
20200722,54500,55200,53600,53700,112918
20200721,54100,55700,54100,54900,135715
20200720,54900,54900,53700,54100,168182
20200717,55500,55500,54500,54800,115109
20200716,53100,55000,52800,54700,187835
20200715,53600,54000,53000,53300,125662
20200714,51300,53500,51300,53100,135550
20200713,51300,52200,50700,51700,76690
20200710,52600,52600,50900,51000,131518
20200709,52500,52800,51600,52600,160746
20200708,52200,53100,52000,52500,123365
20200707,53700,53700,52100,52200,170979
20200706,53500,53900,52700,53200,138486
20200703,52400,54000,51500,53300,277439
20200702,49650,53400,49600,52000,301438
20200701,50500,50900,49200,49550,328572
20200630,47350,56800,47200,51600,1747806
20200629,47900,47900,46800,47100,126096
20200626,47800,49150,47250,48350,144566
20200625,48950,49350,47550,47600,223557
20200624,49450,49850,49450,49850,94650
20200623,50300,50600,49050,49450,179759
20200622,50700,51600,50000,50000,144578
20200619,51200,51900,50400,51900,145003
20200618,49800,51600,49700,50600,153469
20200617,51600,51800,49750,50500,225445
20200616,51100,52200,51000,52000,143036
20200615,53500,53500,50200,50200,228903
20200612,53300,54300,51800,54100,216869
20200611,57300,58300,56000,56100,236974
20200610,58400,58400,57300,57700,102053
20200609,59400,59800,57600,58000,196369
20200608,60300,60300,58600,59300,179971
20200605,60000,60800,58700,59100,207124
20200604,58100,60900,57800,59000,483918
20200603,57000,57900,56700,57400,247129
20200602,56000,56600,55500,56500,131221
20200601,56100,56400,55500,56300,152064
20200529,54200,57800,53400,57800,246501
20200528,56100,56600,54300,54800,165850
20200527,55400,55900,54600,55500,103973
20200526,54600,55800,54200,55300,113236
20200525,55700,56100,54000,54500,142288
20200522,57700,57800,55100,55400,158179
20200521,57300,57700,56700,57400,140629
20200520,57800,58100,56600,56900,150425
20200519,56100,58100,55300,57800,257532
20200518,55200,55300,54200,54700,77149
20200515,55100,55300,53800,55000,103626
20200514,55300,55400,54100,55000,118322
20200513,53700,55100,53300,55100,116635
20200512,55900,56300,54300,54500,128198
20200511,57500,57600,55900,56000,153839
20200508,57700,58800,57600,57700,144397
20200507,55900,57200,55900,56900,223454
20200506,57000,57300,56300,56400,198918
20200504,56000,57200,55200,56000,255958
20200429,58500,59000,57700,58100,225842
20200428,58200,60500,58100,58300,252601
20200427,58000,58800,57700,58200,121829
20200424,57700,58600,57100,57600,162137
20200423,58400,59400,58300,58500,158849
20200422,58100,58400,56900,58300,168003
20200421,60700,60800,56700,58700,255765
20200420,62000,62800,60300,60600,175765
20200417,61000,63700,61000,62500,232244
