,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200731,1380,1385,1335,1380,123449
20200730,1330,1425,1315,1385,321779
20200729,1320,1335,1305,1330,49355
20200728,1345,1355,1310,1325,105924
20200727,1355,1355,1325,1345,39562
20200724,1365,1375,1300,1360,172602
20200723,1370,1370,1330,1365,59296
20200722,1370,1405,1350,1370,161712
20200721,1325,1370,1305,1370,111198
20200720,1315,1330,1315,1315,28860
20200717,1325,1335,1310,1330,30153
20200716,1355,1365,1320,1325,95108
20200715,1325,1390,1325,1355,47041
20200714,1370,1375,1325,1325,41845
20200713,1400,1400,1350,1370,21982
20200710,1390,1395,1330,1380,55448
20200709,1320,1385,1315,1380,175660
20200708,1315,1335,1285,1325,41226
20200707,1355,1355,1295,1320,113042
20200706,1370,1370,1330,1350,75713
20200703,1325,1335,1310,1330,50991
20200702,1290,1315,1280,1315,34556
20200701,1285,1300,1265,1295,66797
20200630,1315,1340,1255,1280,336069
20200629,1310,1315,1240,1305,259994
20200626,1370,1395,1300,1335,314378
20200625,1350,1370,1345,1365,65459
20200624,1400,1410,1360,1360,284657
20200623,1405,1435,1375,1400,303799
20200622,1470,1470,1390,1420,429442
20200619,1480,1485,1420,1470,147310
20200618,1485,1500,1440,1480,97044
20200617,1475,1490,1450,1485,230948
20200616,1400,1475,1400,1470,216978
20200615,1475,1475,1360,1395,344762
20200612,1340,1480,1335,1430,583005
20200611,1385,1415,1380,1415,434823
20200610,1435,1455,1380,1405,472579
20200609,1450,1480,1435,1460,284130
20200608,1485,1500,1420,1450,468773
20200605,1425,1485,1390,1485,435656
20200604,1275,1495,1270,1440,1910123
20200603,1295,1300,1260,1275,608713
20200602,1310,1310,1265,1295,188365
20200601,1290,1310,1250,1300,227565
20200529,1280,1290,1245,1290,269684
20200528,1305,1315,1245,1280,278718
20200527,1335,1340,1290,1315,197166
20200526,1335,1360,1285,1335,229251
20200525,1270,1335,1270,1335,142618
20200522,1290,1305,1270,1295,77534
20200521,1290,1325,1255,1290,128581
20200520,1275,1295,1250,1285,199433
20200519,1315,1315,1245,1280,434438
20200518,1355,1355,1275,1315,197760
20200515,1340,1370,1320,1350,66374
20200514,1335,1360,1320,1345,34571
20200513,1345,1345,1305,1340,61185
20200512,1350,1370,1305,1350,85286
20200511,1330,1350,1285,1350,111155
20200508,1340,1350,1310,1330,136483
20200507,1290,1335,1275,1320,226771
20200506,1280,1315,1280,1295,86273
20200504,1305,1305,1220,1295,172551
20200429,1270,1340,1250,1305,425527
20200428,1285,1285,1230,1270,71072
20200427,1240,1260,1225,1255,97806
20200424,1230,1245,1200,1240,137226
20200423,1255,1295,1220,1240,379163
20200422,1285,1285,1225,1280,115535
20200421,1315,1315,1225,1285,112896
20200420,1325,1325,1265,1315,268334
20200417,1290,1310,1260,1280,266124
20200416,1265,1265,1200,1255,83035
20200414,1215,1265,1205,1220,129720
20200413,1250,1250,1200,1215,88988
20200410,1240,1260,1175,1245,163795
20200409,1245,1265,1205,1250,159399
20200408,1185,1225,1155,1220,322257
20200407,1130,1180,1125,1175,321602
20200406,1095,1130,1095,1130,124160
20200403,1120,1130,1085,1105,119877
20200402,1135,1135,1085,1120,89525
20200401,1095,1175,1080,1130,500515
20200331,1045,1090,1045,1090,240849
20200330,1025,1055,995,1040,327012
20200327,1095,1120,1035,1050,252325
20200326,1065,1105,1040,1080,336713
20200325,1030,1090,1005,1050,510155
20200324,984,1030,968,1020,308549
20200323,980,1010,955,982,321326
20200320,980,1065,980,1005,371843
20200319,1040,1050,938,984,477802
20200318,1070,1120,1025,1035,247541
20200317,1045,1095,998,1055,368806
20200316,1130,1155,1010,1100,255074
20200313,1055,1115,973,1105,394345
20200312,1190,1190,1050,1100,362496
20200311,1295,1295,1165,1185,183026
20200310,1270,1285,1190,1280,351992
20200309,1280,1305,1230,1255,127255
20200306,1335,1340,1285,1320,269196
20200305,1380,1380,1325,1355,127360
20200304,1305,1345,1290,1335,248236
20200303,1360,1385,1275,1300,409283
20200302,1255,1395,1240,1360,279265
20200228,1360,1380,1240,1290,291535
20200227,1500,1550,1370,1405,289375
20200226,1560,1560,1500,1510,146099
20200225,1545,1575,1510,1560,98488
20200224,1585,1595,1540,1560,212970
20200221,1620,1645,1575,1615,162555
20200220,1590,1625,1575,1620,81713
20200219,1600,1645,1575,1620,272349
20200218,1645,1650,1590,1625,83069
20200217,1585,1635,1570,1630,264713
20200214,1560,1590,1525,1585,210727
20200213,1525,1575,1520,1535,286459
20200212,1525,1525,1490,1525,165676
20200211,1530,1530,1495,1525,157158
20200210,1540,1550,1480,1530,69202
20200207,1515,1530,1485,1520,183406
20200206,1500,1530,1450,1505,301576
20200205,1470,1510,1470,1470,141360
20200204,1480,1500,1460,1470,47094
20200203,1455,1500,1430,1480,73272
20200131,1435,1550,1435,1455,126621
20200130,1480,1505,1430,1450,125856
20200129,1480,1500,1460,1500,93230
20200128,1510,1510,1445,1480,177469
20200123,1560,1595,1530,1530,146439
20200122,1595,1610,1570,1575,59222
20200121,1585,1630,1565,1595,157355
20200120,1690,1705,1560,1585,467467
20200117,1600,1705,1595,1660,1076427
20200116,1605,1630,1505,1595,324455
20200115,1595,1635,1560,1600,177260
20200114,1630,1665,1560,1595,449693
20200113,1565,1655,1560,1645,343209
20200110,1635,1645,1560,1580,297634
20200109,1600,1650,1585,1585,754479
20200108,1620,1645,1540,1550,1189848
20200107,1455,1750,1430,1635,6645238
20200106,1430,1455,1390,1455,379544
20200103,1400,1470,1390,1430,444954
20200102,1410,1415,1395,1400,300011
20191230,1360,1425,1355,1405,641496
20191227,1295,1445,1275,1370,1841008
20191226,1265,1310,1265,1275,171169
20191224,1300,1305,1270,1275,242521
20191223,1295,1310,1285,1300,86382
20191220,1275,1310,1265,1295,175003
20191219,1290,1305,1280,1280,131145
20191218,1300,1310,1240,1280,310013
20191217,1320,1335,1295,1300,319336
20191216,1295,1335,1290,1305,226045
20191213,1275,1300,1275,1300,219696
20191212,1270,1305,1270,1280,270319
20191211,1315,1335,1250,1270,552447
20191210,1250,1310,1230,1310,332858
20191209,1285,1320,1245,1245,301569
20191206,1290,1360,1280,1290,629175
20191205,1240,1340,1235,1315,511955
20191204,1270,1270,1215,1220,204290
20191203,1275,1285,1245,1270,122876
20191202,1205,1280,1205,1280,322125
20191129,1260,1265,1180,1220,247555
20191128,1280,1280,1250,1265,264958
20191127,1275,1285,1260,1275,214185
20191126,1225,1285,1200,1275,463528
20191125,1175,1230,1175,1225,236899
20191122,1220,1245,1175,1195,531523
20191121,1215,1240,1165,1210,607760
20191120,1340,1345,1225,1225,1787063
20191119,1280,1400,1225,1290,6225370
20191118,1265,1305,1250,1260,2200201
20191115,1055,1365,1050,1290,16557433
20191114,1025,1090,1020,1055,774892
20191113,999,1030,998,1025,218304
20191112,1010,1015,995,998,82612
20191111,996,1015,988,1010,148884
20191108,1010,1015,995,1000,80092
20191107,988,1035,984,1005,171997
20191106,1005,1010,986,988,118291
20191105,970,1010,963,1005,254247
20191104,965,978,959,963,102995
20191101,962,971,952,962,85360
20191031,966,980,962,966,84194
20191030,970,975,963,971,65099
20191029,975,984,967,970,119331
20191028,976,1070,964,975,507801
20191025,984,996,963,976,114121
20191024,1000,1010,974,984,207514
20191023,1010,1015,990,1000,159147
20191022,999,1015,999,1010,80954
20191021,1025,1030,995,998,292115
20191018,1040,1040,1015,1025,163536
20191017,1055,1060,1025,1040,96038
20191016,1050,1105,1040,1060,213403
20191015,1030,1045,1015,1040,102352
20191014,1035,1045,1020,1040,22994
20191011,1010,1050,1010,1020,66392
20191010,1015,1015,1005,1015,23717
20191008,1020,1030,1000,1020,131928
20191007,1060,1060,1025,1025,45273
20191004,1065,1075,1035,1055,69182
20191002,1090,1095,1050,1070,171946
20191001,1110,1125,1080,1100,153389
20190930,1115,1135,1105,1110,22656
20190927,1125,1135,1120,1125,26430
