,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200731,29250,29450,28250,28450,375877
20200730,27850,30000,27700,29100,1246619
20200729,27950,28300,27350,27650,186856
20200728,28700,28700,27700,28300,324193
20200727,27400,28800,27200,28600,719436
20200724,26050,27600,25800,27150,480527
20200723,26500,27200,26200,26200,337346
20200722,26500,26550,25750,26450,309297
20200721,26750,27000,26100,26550,268968
20200720,26900,26950,26200,26500,346148
20200717,27700,27950,26900,26900,324265
20200716,27800,28050,27150,27750,338419
20200715,28300,28450,27500,27800,278486
20200714,28000,28200,27250,28200,406336
20200713,29100,29250,28250,28350,345430
20200710,28800,29100,28250,28700,284001
20200709,28350,29300,28300,29000,580201
20200708,28250,28600,27900,28400,268340
20200707,28200,28500,27650,28350,293642
20200706,27350,28900,27350,28100,604015
20200703,27900,28250,27150,27600,350172
20200702,26500,27950,26000,27800,733917
20200701,27950,28350,25800,26350,608012
20200630,27000,28450,26700,27700,854431
20200629,26500,28600,26300,26750,874767
20200626,27200,27400,26200,26750,445988
20200625,26900,27900,26350,26950,798254
20200624,25900,27800,25450,27350,1352655
20200623,24300,27300,24050,25850,2946079
20200622,23750,23950,23000,23500,357696
20200619,24150,24450,23300,23550,595667
20200618,24300,24700,23850,23900,555079
20200617,23550,24500,22800,24050,623576
20200616,22050,23700,21950,23700,599004
20200615,22750,23650,21400,21400,655936
20200612,21700,23000,21400,22800,512146
20200611,22850,23500,22300,22300,337049
20200610,23100,23700,22750,22800,324766
20200609,22650,23500,22050,23300,603821
20200608,22350,22800,22200,22350,301217
20200605,22500,22600,22050,22150,483254
20200604,23400,23800,22600,22950,644190
20200603,22700,24150,22500,23800,1033652
20200602,22600,22700,22200,22500,269421
20200601,22200,22900,22000,22350,531947
20200529,21950,22650,21650,22000,606888
20200528,23450,23450,21350,22000,1158482
20200527,24100,24150,23100,23200,508841
20200526,24350,25150,23650,24300,966396
20200525,24700,24700,23650,24050,939792
20200522,22600,27750,22300,24700,6819708
20200521,22800,23000,21850,22150,728429
20200520,22450,23400,22150,23200,658366
20200519,22800,22800,21700,22500,925623
20200518,24300,24350,22800,22950,983886
20200515,23650,24900,23550,24850,1271622
20200514,21950,23650,21900,23450,1533322
20200513,21500,22450,21300,21850,1338586
20200512,19750,22050,19500,21500,4465203
20200511,18550,19500,18350,19300,864559
20200508,18700,19050,18350,18400,401678
20200507,17900,18500,17800,18250,394301
20200506,17650,18650,17600,17800,783614
20200504,17100,17750,17000,17350,269448
20200429,17050,17350,16950,17350,203545
20200428,17500,17650,16950,17000,353902
20200427,17400,18000,17200,17350,422370
20200424,17400,17650,17100,17250,253064
20200423,17350,17750,17100,17550,366586
20200422,16850,17300,16600,17100,330229
20200421,18150,18150,16650,17200,926291
20200420,17300,18450,17250,18300,803531
20200417,17150,17750,17150,17350,523964
20200416,16950,17200,16450,17000,433912
20200414,16700,17250,16450,17100,476941
20200413,16050,16450,15750,16450,323918
20200410,16600,16750,15700,16050,484040
20200409,17000,17050,16300,16550,407482
20200408,17050,17400,16650,16750,377786
20200407,17750,17950,16750,16950,394096
20200406,17400,17750,17000,17350,432721
20200403,17250,17600,16800,17500,300461
20200402,17150,17600,16450,17200,513721
20200401,17050,17650,16400,16650,611284
20200331,15900,17450,15450,17300,684257
20200330,14250,15600,14150,15450,325375
20200327,15000,15500,14000,14600,439180
20200326,14300,15000,13950,14300,417028
20200325,14500,14750,13850,14350,496815
20200324,13350,14050,12850,13900,403837
20200323,12950,13250,12200,12650,637203
