,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200731,6220,6330,6010,6010,1226898
20200730,6090,6140,5980,6020,412775
20200729,6020,6170,5900,6030,564619
20200728,6200,6270,5970,6030,693067
20200727,5790,6210,5730,6100,1094079
20200724,5680,5810,5540,5720,430680
20200723,6000,6000,5700,5720,564634
20200722,6030,6080,5830,5970,705451
20200721,6110,6170,6000,6090,629906
20200720,5850,6100,5750,6060,911215
20200717,5680,5980,5680,5820,753462
20200716,5780,5790,5610,5730,536440
20200715,5400,5820,5280,5780,1757131
20200714,5300,5410,5260,5370,209922
20200713,5350,5410,5250,5360,217736
20200710,5440,5440,5200,5260,213534
20200709,5230,5440,5210,5370,357549
20200708,5240,5270,5190,5190,157293
20200707,5240,5260,5170,5240,177955
20200706,5240,5250,5140,5230,138947
20200703,5200,5270,5140,5180,172627
20200702,5110,5200,5090,5200,135570
20200701,5270,5290,5070,5090,308920
20200630,5340,5400,5250,5250,196032
20200629,5250,5420,5190,5270,275414
20200626,5460,5490,5280,5290,322551
20200625,5490,5490,5330,5460,540790
20200624,6210,6350,5600,5630,3343353
20200623,5340,5590,5280,5590,675264
20200622,5220,5320,5210,5250,167651
20200619,5220,5360,5170,5200,201920
20200618,5260,5310,5140,5140,219787
20200617,5150,5330,5050,5210,380305
20200616,5250,5300,5130,5230,356234
20200615,5570,5590,4990,4990,888951
20200612,5540,5690,5420,5610,831209
20200611,6030,6100,5780,5840,607178
20200610,6140,6140,5970,6000,644142
20200609,6160,6310,6030,6100,984397
20200608,6760,7000,6210,6210,3516327
20200605,6100,6110,5890,5970,822035
20200604,5810,6010,5760,5970,1226566
20200603,5900,5920,5700,5770,640690
20200602,6020,6030,5830,5900,1412217
20200601,5640,5790,5570,5740,618226
20200529,5800,5800,5610,5630,611528
20200528,5580,5890,5530,5890,2356694
20200527,5840,5850,5500,5560,1195761
20200526,5950,6030,5750,5800,1321294
20200525,6080,6140,5700,5910,3033370
20200522,5820,6120,5810,6000,1685781
20200521,5740,5830,5650,5750,530860
20200520,5760,5850,5660,5700,589428
20200519,6080,6110,5720,5830,970398
20200518,5970,6520,5800,5960,2700960
