,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200731,211500,213000,205000,205500,383998
20200730,212500,217500,212000,213000,399720
20200729,202000,212000,200500,212000,557688
20200728,204500,206000,202500,204000,333839
20200727,203500,210000,202000,203500,394211
20200724,207000,214000,203500,203500,566590
20200723,209500,214000,206500,211500,511415
20200722,217000,219500,211000,211000,386754
20200721,221500,224000,216000,217000,558469
20200720,222000,227500,219000,224000,434885
20200717,213000,221000,212500,220500,436200
20200716,216500,220000,213000,213000,402205
20200715,213500,223000,213000,215500,815163
20200714,203500,211500,200000,210000,549007
20200713,194500,205500,193500,204500,416475
20200710,195500,196500,191000,192500,280706
20200709,201000,201000,197500,197500,299020
20200708,200000,203500,199000,199000,271449
20200707,205500,206000,199000,201000,352141
20200706,197000,206000,194500,204500,336074
20200703,196000,199500,194500,195500,165056
20200702,192000,196000,192000,194500,253093
20200701,194500,198000,193000,194000,173150
20200630,195000,197500,192000,192000,253317
20200629,193000,195000,191500,192000,212889
20200626,197000,201000,196500,198500,295836
20200625,200500,202500,194000,194000,392726
20200624,195500,212500,195500,205000,734730
20200623,187000,196000,186500,193000,579311
20200622,185000,187000,183500,184000,204828
20200619,190000,191500,185500,185500,319737
20200618,187500,193000,185500,188000,282466
20200617,193000,194000,188500,190000,316584
20200616,190000,196500,190000,195000,322656
20200615,198500,199500,187000,187000,594810
20200612,193500,206000,193000,206000,440380
20200611,208500,211000,203500,206000,624141
20200610,212000,213000,209000,211000,338548
20200609,216500,221000,212500,214500,244881
20200608,225000,225500,216500,217500,285589
20200605,215000,221000,213000,219000,287283
20200604,225000,229500,217000,217500,408294
20200603,218500,230000,217000,224000,515118
20200602,203000,219000,202500,214000,430198
20200601,196000,206500,196000,206000,260640
20200529,190500,200500,188500,198000,389868
20200528,193000,193500,190000,190500,287260
20200527,193500,196000,192000,193000,285130
20200526,188500,196500,187500,195000,353343
20200525,187000,187000,181500,186500,166801
20200522,188000,188500,182500,184000,255149
20200521,187500,189500,185000,187000,288325
20200520,184000,187000,182000,185000,251354
20200519,179000,187000,178000,186500,632454
20200518,174500,174500,170000,173000,224848
20200515,171000,172500,169000,172500,211529
20200514,170000,170000,168000,169500,291779
20200513,167000,170500,167000,170500,231167
20200512,172000,172500,168500,170000,260081
20200511,175000,178500,172000,172500,441460
20200508,171500,177500,171500,176000,359076
20200507,170500,172000,169500,170000,260282
20200506,171000,173000,169500,173000,284330
20200504,168500,172000,167000,169500,393505
20200429,168500,172000,167500,172000,330932
20200428,167000,169500,166000,167500,351935
20200427,168000,169500,167000,167500,401696
20200424,175500,175500,167500,169000,440277
20200423,175500,180000,175000,177000,278640
20200422,171500,176500,169000,176500,425251
20200421,178500,179000,173000,176500,387624
20200420,179000,181000,178000,179500,402353
20200417,175500,181500,175500,179500,315155
20200416,173000,177000,171000,174500,402536
20200414,175000,178000,173000,176500,256468
20200413,178000,179000,174000,174000,243078
20200410,178500,184000,175500,181000,368237
20200409,173000,179500,171000,178000,607783
20200408,170000,174500,169000,170000,444216
20200407,173000,174500,168000,172500,600590
20200406,165500,169500,164500,169500,301214
20200403,164500,167000,163000,165000,307022
20200402,168500,169000,162000,167000,396835
20200401,166500,171000,165500,166500,362016
20200331,166500,171500,164500,169500,409687
20200330,164000,168000,160500,164500,446277
20200327,179500,179500,165500,170000,576106
20200326,167000,179500,164000,167000,658075
20200325,159500,173000,156000,169500,810541
20200324,140500,145500,137000,144500,464543
20200323,128000,139000,127000,133500,522677
20200320,130000,142000,126500,140500,567440
20200319,142000,145000,126000,129000,577742
20200318,152500,154000,140500,141000,438595
20200317,156500,159000,152000,152500,433323
20200316,172500,176000,161500,161500,329732
20200313,162000,174000,162000,171500,623997
20200312,190000,191500,178500,180000,458209
20200311,189500,192000,185000,187500,288950
20200310,194500,197000,189000,189000,392442
20200309,200000,200500,193500,194000,237798
20200306,208000,210000,203000,203000,248997
20200305,210000,211500,208000,210500,244377
20200304,207000,210500,205500,209000,249704
20200303,209000,211000,204000,204500,302640
20200302,204500,210000,199500,207000,558902
20200228,217000,218000,208500,210000,317745
20200227,219000,222500,218500,219000,162109
20200226,216500,222500,216000,220000,234909
20200225,216000,224000,216000,220000,249318
20200224,224000,226000,219000,219000,247956
20200221,228000,231000,227000,228500,143419
20200220,235500,237000,230000,231000,183854
20200219,239000,239500,234000,235500,158389
20200218,237500,239000,235000,235500,126287
20200217,240000,240500,235500,239000,119699
20200214,234500,240500,234000,237000,186275
20200213,241000,242500,237500,239000,252113
20200212,238000,243500,237500,242500,268281
20200211,229000,240500,228500,237500,302565
20200210,227500,230000,225000,228500,183144
20200207,231000,231500,228000,231000,232094
20200206,229500,235000,227500,234000,311850
20200205,229000,230500,226000,227000,255446
20200204,229000,231000,227500,229500,376956
20200203,227500,228500,220000,228000,332333
20200131,237000,239500,229500,229500,238669
20200130,240000,240000,235000,237000,393045
20200129,243000,244500,236000,239500,310470
20200128,246500,248500,245000,245000,283811
20200123,248500,253000,246500,251500,472880
20200122,243000,246000,241000,245500,283895
20200121,244500,244500,240000,241000,252264
20200120,247500,249500,246000,246000,150631
20200117,250500,251500,247000,248000,162761
20200116,246000,250000,243000,249500,291549
20200115,244000,245500,243000,245000,176379
20200114,243500,246000,242500,244000,192654
20200113,243500,245500,241500,242000,199412
20200110,245500,247500,244000,244500,208838
20200109,245000,248500,243000,245000,283999
20200108,248000,256500,244000,245000,317886
20200107,252000,255000,249000,252500,251361
20200106,250000,252000,248000,249500,130109
20200103,249000,250500,244500,250000,255475
20200102,254500,256000,247500,247500,214585
20191230,260500,260500,256000,256000,106749
20191227,258000,262000,255000,257500,106529
20191226,259500,261500,257000,261000,126392
20191224,258500,261000,256500,257500,161771
20191223,263000,263000,258000,260000,204087
20191220,261500,262500,258500,262000,242192
20191219,265000,266000,257000,261000,250200
20191218,259500,268500,259000,267000,317144
20191217,267000,267000,261000,263500,540074
20191216,263000,263000,259500,260500,234196
20191213,261000,263000,258000,260500,243561
20191212,256000,260000,254000,259500,409684
20191211,254000,256500,253000,256000,278919
20191210,250000,257500,250000,257000,287466
20191209,246500,252500,246000,252000,244462
20191206,246500,247500,244500,246500,200593
20191205,248000,251000,244000,245000,298932
20191204,248000,250500,246000,249500,345433
20191203,247500,249500,244500,248000,262440
20191202,245000,248500,244500,246500,242207
20191129,252500,253500,244000,245000,257744
20191128,251000,253000,249000,251000,225680
20191127,247000,254000,247000,252500,308263
20191126,253000,257000,247000,247000,630562
20191125,253000,258500,253000,257000,304028
20191122,251000,256500,251000,255500,257086
20191121,256000,258500,251000,253000,385166
20191120,255500,259000,254500,256000,270526
20191119,256000,260000,256000,257000,290124
20191118,254000,258500,252000,255500,240022
20191115,248000,258500,246500,257500,295646
20191114,243500,246000,241500,246000,196138
20191113,243500,245500,241000,241500,128720
20191112,242000,246000,241000,244500,237741
20191111,241000,244500,241000,241500,109303
20191108,245000,246000,241500,242000,176210
20191107,246500,249000,244500,247000,169598
20191106,247000,248000,244500,244500,150854
20191105,242500,246500,242000,246500,202980
20191104,241000,244000,240000,242500,208980
20191101,237000,244000,236500,243000,180495
20191031,237500,240500,235000,238000,226345
20191030,239000,240000,237000,238000,180426
20191029,237500,239500,236500,237500,187239
20191028,238000,240000,236500,237000,597923
20191025,240000,240000,236500,237000,383310
20191024,238500,243500,238500,241000,183751
20191023,239500,241500,238500,240000,132086
20191022,236500,242500,236500,241000,176620
20191021,241500,241500,235500,238500,130342
20191018,243500,243500,238500,241000,239026
20191017,245000,245000,239000,240500,164578
20191016,245000,245500,242000,244000,153355
20191015,242000,246500,241500,245500,200929
20191014,247500,247500,239500,240500,189019
20191011,248000,249000,242000,244000,201697
20191010,243500,248000,237500,245500,329544
20191008,243000,245500,241500,243500,170518
20191007,241500,245500,241000,244000,120836
20191004,243000,245500,239000,242500,206930
20191002,245500,247500,243000,245500,211452
20191001,251500,252000,247000,247500,192354
20190930,249500,253000,248000,252000,191365
