,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200731,134000,140500,132000,135000,164736
20200730,134500,137000,132500,134000,90339
20200729,136500,140000,135000,135500,88675
20200728,139500,142000,137000,137000,93916
20200727,143000,144000,133000,140000,151177
20200724,139000,143000,135500,139000,351025
20200723,128000,140500,125500,135500,331126
20200722,130000,130500,126000,127500,92710
20200721,127500,130000,125500,129000,138995
20200720,121000,126000,119500,125000,67456
20200717,122000,123500,120000,121500,49659
20200716,123000,124000,119500,120000,79527
20200715,127000,127000,119500,125500,104529
20200714,129000,129000,125000,127000,91025
20200713,127500,129500,125000,129500,112491
20200710,121000,126000,121000,124500,156541
20200709,122500,122500,118500,118500,93584
20200708,119500,119500,116500,118000,54562
20200707,117500,120000,116500,118000,78219
20200706,115500,119500,114000,118500,113029
20200703,114000,115500,112500,113000,65993
20200702,112500,114500,109000,114500,97100
20200701,110000,115500,107000,112500,133425
20200630,111500,111500,107000,108500,95570
20200629,111500,112500,108500,111000,112771
20200626,116000,116500,111500,113000,100421
20200625,117500,123500,115500,115500,129104
20200624,121000,127000,118500,120000,134256
20200623,122000,124500,118000,120500,144007
20200622,119500,125000,117500,122000,194378
20200619,126000,128000,116500,117500,288747
20200618,149000,152000,125000,126000,788123
20200617,116500,140000,116000,140000,356296
20200616,112500,123500,110500,117500,263206
20200615,118500,123000,108000,109000,175754
20200612,107500,118000,107000,116000,163644
20200611,113000,115500,110500,111500,140211
20200610,110000,113500,107500,113500,125748
20200609,100500,116500,100500,110000,355753
20200608,102500,103000,98500,99300,81485
20200605,97700,102500,97400,100000,62168
20200604,97100,98300,96900,97500,33900
20200603,98300,98300,96500,96800,43968
20200602,97500,97500,96100,97000,37845
20200601,94400,97100,93600,97000,44086
20200529,93500,95300,93500,94400,34959
20200528,95800,96100,92300,93500,65060
20200527,96300,96800,95900,96300,26109
20200526,97600,97900,96400,97000,31636
20200525,98500,98500,96200,97000,31606
20200522,98600,100500,97500,97500,37413
