DATE,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200731,11200,11350,11050,11100,59428
20200730,11450,11650,11150,11300,71038
20200729,11350,11700,11100,11550,54614
20200728,11400,11650,11250,11350,51326
20200727,11750,11750,11350,11350,55030
20200724,11800,11950,11300,11750,145455
20200723,11600,11950,10900,11600,153221
20200722,11250,11450,11150,11400,45063
20200721,11250,11400,10750,11350,100840
20200720,11850,11850,11100,11250,106174
20200717,11850,11850,11600,11700,29974
20200716,11850,11900,11650,11800,27691
20200715,11800,12000,11700,11900,41332
20200714,11850,12100,11550,11700,60352
20200713,11650,12300,11650,12000,31469
20200710,12150,12150,11700,11700,58789
20200709,11900,12250,11600,12150,66047
20200708,11850,11950,11700,11900,42413
20200707,12000,12050,11800,11900,38968
20200706,12250,12300,11900,12100,76938
20200703,12050,12200,11700,11900,50855
20200702,11800,12200,11750,12150,38346
20200701,12250,12550,11700,11700,66557
20200630,12400,12600,12100,12250,83721
20200629,12700,12900,11800,12350,268981
20200626,14050,14150,12900,13050,254470
20200625,13350,14300,13100,13800,433768
20200624,12550,13700,12450,13650,446095
20200623,12200,12800,11650,12700,240195
20200622,12050,12350,11650,11800,95397
20200619,12200,12600,12000,12150,104905
20200618,12250,12400,12000,12050,61490
20200617,12000,12450,11750,12150,97463
20200616,11800,12350,11500,12200,140925
20200615,12900,13250,11200,11400,280395
20200612,12250,13100,12100,12950,253753
20200611,13000,13450,12650,13150,483761
20200610,11950,13300,11850,12900,915905
20200609,12350,12350,11850,12050,119831
20200608,12150,12350,11850,12300,130049
20200605,12200,12500,11800,12000,243483
20200604,11850,12250,11700,11950,120339
20200603,11750,12800,11450,11850,523838
20200602,11750,11750,11350,11600,166780
20200601,11500,13600,11400,11650,1152236
20200529,11000,11450,10600,11400,88990
20200528,11800,11800,10850,11300,134022
20200527,12050,12150,11600,11700,128817
20200526,11800,12300,11600,12200,188006
20200525,11850,12100,11400,11750,173090
20200522,11600,12000,11450,11750,146961
20200521,11700,11900,11400,11600,115160
20200520,11300,11800,11250,11700,104620
20200519,11750,11850,11100,11350,137030
20200518,11950,11950,11500,11700,151632
20200515,11800,12500,11200,11950,532098
20200514,11100,12000,10950,11550,327597
20200513,10950,11450,10800,11250,107157
20200512,11550,11550,10800,10900,144092
20200511,11300,11650,11150,11400,210551
20200508,11400,11400,11000,11150,130061
20200507,11100,11300,10950,11100,89032
20200506,10800,11400,10750,11100,288370
20200504,10900,11050,10500,10750,134925
20200429,11400,11450,10900,10900,233898
20200428,11600,11800,11100,11350,328615
20200427,11800,12250,11400,11700,1006179
20200424,12800,13400,10850,11250,2267254
20200423,9100,11800,9000,11800,2224907
20200422,9080,9100,8880,9100,29527
20200421,9510,9510,8760,9130,81361
20200420,9220,9560,8850,9510,90078
20200417,8870,9290,8870,9220,128757
20200416,8860,8930,8380,8840,57374
20200414,8900,9100,8720,8860,58613
20200413,9130,9370,8800,8880,45563
20200410,9240,9330,8850,9120,64256
20200409,9420,9550,9170,9250,73295
20200408,9220,9490,9050,9370,75674
20200407,9180,9280,8950,9220,111188
20200406,8600,9400,8600,9080,164029
20200403,8560,8730,8400,8640,62435
20200402,8300,8650,8000,8630,69546
20200401,9080,9080,8400,8430,117294
20200331,8820,9150,8620,8900,163266
20200330,8200,8760,8100,8760,114232
20200327,8640,8840,8100,8460,294849
20200326,7800,9800,7700,8300,825671
20200325,7530,7750,7360,7700,123511
20200324,7350,7350,7000,7320,101377
20200323,6900,7300,6840,7000,55116
20200320,6950,7760,6950,7600,56346
20200319,8150,8290,6800,6980,112892
20200318,8350,9180,8000,8150,187543
20200317,7790,8500,7540,8350,76600
20200316,8560,10500,8020,8340,555075
20200313,8130,8960,7300,8510,294754
20200312,10300,10500,9450,9760,173778
20200311,11800,11850,10350,10500,157524
20200310,11300,13150,11000,11650,315142
20200309,12500,12550,11600,11700,125270
20200306,12400,13150,12100,12600,315862
20200305,11550,12200,11550,12150,147873
20200304,10850,11500,10700,11500,48608
20200303,10650,11100,10650,10850,50876
20200302,10100,10750,10100,10550,39482
20200228,11000,11300,10000,10200,122411
20200227,11650,12200,11250,11450,102664
20200226,11100,11800,10900,11650,44576
20200225,11200,11550,10800,11400,47323
20200224,11900,11950,11050,11200,70562
20200221,12000,12600,12000,12150,132871
20200220,11950,12150,11750,12000,69238
20200219,11500,12150,11500,11900,178927
20200218,11400,11700,11300,11500,52656
20200217,11300,11550,11100,11500,80788
20200214,11300,11950,11150,11300,249545
20200213,11050,11500,11050,11200,109090
20200212,11100,11250,10900,11000,63518
20200211,11000,11350,10900,11200,89398
20200210,10900,11300,10550,11000,134845
20200207,10350,10650,10200,10550,62490
20200206,9990,10400,9890,10350,41131
20200205,9840,10100,9800,9890,25954
20200204,9500,9940,9490,9900,26050
20200203,9310,9650,9060,9450,43612
20200131,9830,10050,9400,9600,49870
20200130,10150,10400,9780,9870,65446
20200129,10150,10400,10100,10200,32676
20200128,10100,10350,9970,10200,54833
20200123,10700,10700,10300,10400,50862
20200122,10600,10800,10500,10600,32785
20200121,10500,11450,10350,10450,103757
20200120,10600,10600,10400,10400,50148
20200117,11250,11250,10500,10650,123616
20200116,11250,11400,11100,11150,40325
20200115,11150,11400,11150,11300,61813
20200114,11050,11400,11050,11150,95736
20200113,11050,11100,10800,11000,27939
20200110,10850,10950,10650,10900,50705
20200109,10700,11000,10550,10750,55320
20200108,10850,11000,10000,10200,156675
20200107,11050,11200,10950,11000,65978
20200106,11550,11700,10900,10950,126060
20200103,12500,12550,11800,11800,125732
20200102,12700,12700,12100,12500,117289
20191230,12150,12700,12100,12550,219460
20191227,12000,12150,11850,12000,114338
20191226,12300,12450,11700,11850,226185
20191224,11700,12250,11450,11900,211553
20191223,11650,11750,11400,11600,54397
20191220,11550,11650,11300,11650,38700
20191219,11900,12000,11500,11500,50411
20191218,11800,12150,11700,11750,61847
20191217,11900,11950,11600,11800,75861
20191216,11650,12100,11500,11900,139075
20191213,11100,11550,11000,11500,150039
20191212,10750,11800,10650,11050,363623
20191211,10350,10850,10300,10600,64745
20191210,10500,10600,10100,10350,31510
20191209,10450,10600,10300,10550,36441
20191206,10100,10500,10100,10500,38871
20191205,10250,10500,9990,10100,58331
20191204,10250,10500,10150,10150,35816
20191203,10450,10650,10300,10350,46110
20191202,10500,10900,10450,10700,48315
20191129,10950,11000,10400,10600,73997
20191128,11250,11400,10950,10950,87846
20191127,11550,12700,11200,11200,538248
20191126,11300,11500,11050,11450,133373
20191125,10950,11500,10950,11300,167168
20191122,11100,11550,10850,11050,150416
20191121,10850,12500,10850,11050,771243
20191120,11150,11450,10950,10950,77909
20191119,11500,11600,11200,11200,68729
20191118,11650,11650,11350,11500,76848
20191115,11600,11750,11250,11500,137274
20191114,12100,12250,11550,11550,127501
20191113,12200,13500,11700,12000,950302
20191112,12500,12650,12000,12000,120458
20191111,12450,12550,11850,12300,124669
20191108,12700,12850,11850,12300,284699
20191107,13100,13350,12650,12750,134220
20191106,13600,13800,12850,13000,226014
20191105,12950,13750,12700,13650,478157
20191104,13350,13400,12250,12900,328444
20191101,13300,13950,13050,13100,423510
20191031,13850,14250,13050,13300,414486
20191030,13900,14550,13500,13850,1007002
20191029,13200,14450,12900,13550,1315819
20191028,12650,15400,12300,12900,4530707
20191025,13850,13900,12700,12700,965317
20191024,12200,15500,11950,14100,6675461
20191023,12050,12850,11450,11950,1408777
20191022,9600,12350,9600,12350,1284704
20191021,9760,9900,9480,9520,87736
20191018,9950,10050,9850,9850,70817
20191017,10250,10400,9900,10050,143314
20191016,10700,10800,10150,10250,233366
20191015,11350,11850,10650,10700,787792
20191014,10850,10950,10400,10850,485047
20191011,11450,11750,10650,10850,494149
20191010,11200,12450,10950,11400,1648406
20191008,11950,12450,10700,11100,2167399
20191007,10300,11050,10100,11050,1356071
20191004,8730,8730,8400,8500,33450
