DATE,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200731,6750,6930,6750,6840,175704
20200730,6850,6920,6760,6810,247854
20200729,7000,7290,6760,6850,817344
20200728,6620,8270,6500,7120,5705902
20200727,6580,6620,6510,6590,102147
20200724,6680,6680,6570,6600,109663
20200723,6810,6820,6570,6690,143937
20200722,6720,6870,6650,6810,122066
20200721,6670,6710,6610,6700,88076
20200720,6780,6780,6590,6640,70190
20200717,6880,6890,6730,6750,69213
20200716,6730,6930,6730,6880,94759
20200715,6620,6840,6620,6730,99878
20200714,6610,6700,6550,6590,54150
20200713,6700,6700,6600,6650,77802
20200710,6760,6780,6590,6660,105937
20200709,6700,6870,6650,6790,85119
20200708,6700,6730,6630,6670,66359
20200707,6770,6790,6670,6690,68113
20200706,6860,6880,6740,6750,52912
20200703,6710,6830,6660,6800,102539
20200702,6610,6710,6570,6680,69403
20200701,6680,6710,6540,6570,96713
20200630,6530,6710,6530,6660,85487
20200629,6600,6650,6500,6500,92243
20200626,6680,6680,6520,6520,71832
20200625,6520,6590,6500,6530,99066
20200624,6740,6740,6630,6650,90900
20200623,6670,6800,6590,6670,152065
20200622,6750,6800,6610,6650,140851
20200619,6850,6870,6750,6750,126662
20200618,6810,6940,6800,6820,88172
20200617,6850,6940,6750,6830,114103
20200616,6630,6950,6630,6920,111625
20200615,6890,6960,6580,6580,261279
20200612,6670,7000,6600,6860,298866
20200611,7210,7260,7000,7040,307795
20200610,7550,7580,7190,7250,482037
20200609,7860,7950,7460,7640,387816
20200608,8130,8140,7810,7820,397245
20200605,7420,8450,7420,8040,1548532
20200604,7520,7600,7400,7400,214370
20200603,7450,7610,7320,7500,512692
20200602,7260,7430,7220,7400,268102
20200601,7060,7280,7000,7240,204212
20200529,7230,7370,6910,6910,542203
20200528,7540,7650,7010,7230,449233
20200527,7170,7510,7170,7510,257303
20200526,6860,7170,6830,7140,393539
20200525,6840,7100,6800,6850,276136
20200522,7160,7160,6740,6830,392658
20200521,7240,7300,7110,7140,176633
20200520,7170,7270,7130,7240,84606
20200519,7250,7340,7140,7190,141798
20200518,7180,7280,7000,7120,115447
20200515,7360,7360,7130,7160,128574
20200514,7410,7410,7200,7260,79279
20200513,7300,7500,7170,7430,163353
20200512,7820,7830,7100,7430,276217
20200511,8030,8030,7750,7820,175970
20200508,7950,8130,7950,8030,77229
20200507,8000,8000,7840,7950,86405
20200506,8030,8090,7950,7960,76320
20200504,7850,8140,7560,8030,183927
20200429,7890,8340,7870,8100,191175
20200428,7840,7870,7720,7870,146302
20200427,7650,7790,7560,7720,83270
20200424,7600,7790,7590,7650,133997
20200423,7660,7830,7580,7750,169716
20200422,7640,7720,7340,7580,362060
20200421,7450,7620,7120,7340,260650
20200420,7490,7740,7400,7450,224575
20200417,7550,7620,7430,7430,152130
20200416,7540,7560,7350,7450,107948
20200414,7480,7520,7370,7440,105320
20200413,7580,7590,7350,7370,152211
20200410,7200,7400,7080,7390,201057
20200409,7110,7390,7090,7260,195279
20200408,6630,7120,6480,7000,245698
20200407,6520,6660,6440,6630,266449
20200406,6200,6490,6180,6450,169389
20200403,6340,6430,6230,6340,104389
20200402,6280,6390,6060,6330,194492
20200401,6150,6480,6050,6390,255609
20200331,6300,6340,6100,6270,258970
20200330,5810,6250,5590,6100,198983
20200327,6000,6270,5650,5930,335187
20200326,5500,6040,5350,5680,391468
20200325,5000,5370,5000,5330,335940
20200324,4570,4895,4430,4895,337370
20200323,4230,4670,4190,4450,383163
20200320,4320,4690,4295,4505,431472
20200319,5350,5500,4110,4360,511796
20200318,6100,6190,5300,5300,307340
20200317,5910,6280,5850,6100,206555
20200316,6110,6450,6080,6160,244864
