DATE,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200731,17650,18250,17500,18000,119695
20200730,17650,18150,17500,17650,97455
20200729,17700,17850,17400,17700,40308
20200728,17300,17800,17200,17750,73228
20200727,17300,17500,17050,17250,64406
20200724,17550,17650,17150,17350,80110
20200723,18000,18100,17400,17550,179520
20200722,18300,18500,17800,18000,104724
20200721,18300,18650,18300,18400,65487
20200720,18700,18700,17850,18350,73798
20200717,18400,18700,18300,18650,76946
20200716,18250,19100,18050,18300,200059
20200715,18000,18350,17800,18200,67104
20200714,18050,18150,17700,17800,106626
20200713,18250,18500,17900,18050,104310
20200710,18550,18550,17750,18050,163431
20200709,18850,19000,18550,18550,76080
20200708,18800,19500,18500,18800,108974
20200707,19400,19500,18150,18700,135043
20200706,19150,19850,19000,19200,181949
20200703,18600,20000,18400,19200,385451
20200702,18000,19700,17750,18600,371823
20200701,19000,19150,17800,17950,321542
20200630,17200,22350,16900,19650,2148002
20200629,17500,17500,16900,17200,70828
20200626,17800,17800,17250,17650,82637
20200625,18000,18200,17600,17600,79361
20200624,18550,18700,18150,18350,61695
20200623,18300,18450,17750,18400,96087
20200622,18350,18900,18000,18150,81588
20200619,18600,18700,17650,18450,116558
20200618,18500,19000,18100,18500,115617
20200617,18900,19000,17950,18350,214759
20200616,19350,19600,18600,19000,248253
20200615,20100,20400,18150,19300,188517
20200612,20000,20600,19600,20450,175280
20200611,21900,21900,21250,21300,89035
20200610,21950,22150,21550,21750,72008
20200609,22000,22100,21650,21850,81756
20200608,22350,22350,21600,21800,110820
20200605,22100,22450,21800,22150,160862
20200604,21700,22200,21300,21900,172018
20200603,21550,22000,21150,21300,158718
20200602,21250,21650,21200,21400,61499
20200601,21050,21550,20950,21400,89335
20200529,21250,21550,20900,21200,95996
20200528,22750,22750,21200,21650,145904
20200527,22250,22600,22000,22600,195443
20200526,21700,22450,21500,22150,141273
20200525,21500,21900,21100,21550,147980
20200522,22000,22350,21300,21400,209212
20200521,23250,23250,22300,22300,235440
20200520,23300,23500,22800,23000,215755
20200519,23050,23550,22500,23300,276264
20200518,23600,24450,22650,22800,443418
20200515,22100,23550,21700,23400,527977
20200514,22450,22700,21800,21800,132751
20200513,22250,22400,21850,22250,97269
20200512,22850,22900,22050,22450,121850
20200511,23300,23350,22000,22800,173073
20200508,22700,23700,22450,23000,208611
20200507,22300,22750,22250,22550,105131
20200506,22250,22450,21800,22450,112514
20200504,21650,22350,21500,21750,86352
20200429,22750,22900,22200,22250,187923
20200428,22000,22750,21700,22400,336826
20200427,21550,21950,21450,21950,83424
20200424,22200,22400,21400,21600,153639
20200423,22150,22450,21600,22400,168892
20200422,21700,22250,21650,22100,144270
20200421,22150,22700,20300,22200,572624
20200420,21200,22300,20650,21750,401495
20200417,20550,21100,20200,21100,401378
20200416,20000,20250,19400,20150,238650
20200414,20650,20750,20050,20250,235444
20200413,19550,21050,18800,20450,709518
20200410,19800,19800,18400,19450,227667
20200409,20400,20600,19100,19550,209208
20200408,19700,20800,19200,19850,341273
20200407,19700,19900,18800,19700,230699
20200406,18800,19350,18500,19300,236937
20200403,19050,19150,17900,18750,190274
20200402,17750,18750,17700,18650,170916
20200401,18300,19350,17650,17700,271640
20200331,17850,19500,17200,18650,478921
20200330,16700,17300,16250,17000,177069
20200327,19400,19400,17050,17500,182176
20200326,18000,18550,17100,18000,205381
20200325,17100,18100,16400,18000,134444
20200324,14500,17400,14000,16600,125307
20200323,13000,14300,12000,13500,131589
20200320,13050,14850,13050,14300,163444
20200319,16950,17800,11800,12900,237295
20200318,17600,18500,16500,16500,152752
20200317,16200,18150,16050,17550,103485
20200316,18500,19750,17800,17800,91047
20200313,18900,19550,17350,18450,164270
20200312,21600,22000,19900,20100,105843
20200311,22550,23000,21350,21550,53894
20200310,21400,22550,21400,22500,73810
20200309,22300,22300,21050,21850,91112
20200306,24050,24050,22750,22800,87568
20200305,24150,24250,23650,24100,63980
20200304,23300,24150,23300,23800,41790
20200303,25150,25150,23250,23350,73472
20200302,23200,24500,22750,24300,67004
20200228,24300,24350,22450,23000,75118
20200227,25200,25450,24000,24100,91803
20200226,24250,25500,23850,25450,131151
20200225,24450,24950,23550,24650,64043
20200224,23950,24700,23850,23900,41995
20200221,25550,25950,24650,24650,99338
20200220,26000,26100,25150,25300,49910
20200219,26900,26900,25600,26050,55725
20200218,26650,26900,26200,26600,74666
20200217,25300,27150,25100,26950,183407
20200214,26000,26100,24850,24900,136002
20200213,27050,27050,25800,25900,117747
20200212,25450,26850,25050,26850,113686
20200211,25000,26050,25000,25800,65356
20200210,24700,25250,24400,25250,41658
20200207,24800,25300,24450,25150,46297
20200206,24700,25350,24500,25000,64141
20200205,25500,25700,24350,24450,102080
20200204,24600,25700,23900,25550,95033
20200203,23100,24750,22950,24600,104756
20200131,26000,26100,23800,23800,112000
20200130,25650,25650,24750,25550,110354
20200129,25650,26400,25050,25350,181976
20200128,24800,26300,24250,25150,277303
20200123,27250,27900,26550,27550,209616
20200122,28450,28650,27300,27650,278972
20200121,27250,29250,27100,29000,323159
20200120,28300,29500,27200,27600,285769
20200117,29000,29400,28100,28450,123157
20200116,28000,29000,27450,28950,205915
20200115,26800,27900,26500,27450,188737
20200114,27500,28300,26000,26800,375390
20200113,26350,30600,25850,27000,969009
