DATE,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200731,1065,1065,1040,1055,164846
20200730,1050,1070,1045,1060,204990
20200729,1085,1085,1030,1045,596598
20200728,1090,1110,1075,1085,174584
20200727,1105,1120,1080,1100,189206
20200724,1140,1155,1090,1105,507233
20200723,1205,1210,1140,1160,321771
20200722,1175,1205,1155,1205,131762
20200721,1175,1180,1140,1175,156345
20200720,1190,1195,1160,1170,150118
20200717,1200,1220,1180,1195,164031
20200716,1190,1210,1190,1200,110078
20200715,1195,1225,1165,1200,299600
20200714,1175,1195,1165,1195,138680
20200713,1230,1270,1175,1185,592438
20200710,1200,1295,1175,1240,1138921
20200709,1195,1225,1185,1200,170338
20200708,1200,1220,1180,1200,146012
20200707,1245,1250,1200,1205,174869
20200706,1245,1255,1220,1240,166341
20200703,1235,1270,1210,1240,239855
20200702,1180,1240,1170,1235,221611
20200701,1170,1220,1160,1180,162689
20200630,1155,1175,1130,1170,347340
20200629,1195,1195,1125,1125,625273
20200626,1255,1270,1185,1205,600967
20200625,1280,1285,1240,1270,221864
20200624,1275,1310,1265,1290,206152
20200623,1320,1330,1270,1285,398932
20200622,1315,1380,1305,1315,239367
20200619,1330,1350,1310,1315,173355
20200618,1340,1355,1320,1340,147138
20200617,1320,1350,1295,1340,306035
20200616,1310,1375,1305,1350,277957
20200615,1430,1440,1230,1270,789723
20200612,1355,1445,1300,1430,684651
20200611,1495,1520,1435,1440,586035
20200610,1525,1525,1480,1495,433927
20200609,1485,1535,1465,1525,1263083
20200608,1485,1490,1450,1470,313939
20200605,1440,1480,1440,1465,254161
20200604,1450,1465,1430,1455,313298
20200603,1485,1510,1445,1450,498078
20200602,1475,1490,1460,1485,250296
20200601,1455,1495,1455,1465,424464
20200529,1520,1520,1445,1455,575757
20200528,1450,1525,1430,1505,1597903
20200527,1420,1445,1410,1440,400105
20200526,1440,1440,1405,1420,353627
20200525,1430,1460,1420,1430,321732
20200522,1530,1550,1415,1420,826615
20200521,1520,1520,1460,1500,909515
20200520,1480,1515,1455,1515,851116
20200519,1475,1485,1430,1475,458004
20200518,1425,1490,1390,1475,689950
20200515,1420,1440,1380,1425,693338
20200514,1470,1470,1400,1415,843574
