DATE,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200731,33000,33900,32150,33450,583717
20200730,31750,33000,31500,33000,538412
20200729,31600,32600,31250,31650,696714
20200728,32150,32150,31000,31300,709371
20200727,29200,33150,29100,31900,3180760
20200724,28100,29900,28050,28700,708395
20200723,28100,28650,27800,28350,352721
20200722,28400,28550,27900,28350,262625
20200721,29100,29200,28250,28400,459762
20200720,28300,28850,27600,28800,454509
20200717,28450,29300,28250,28400,407352
20200716,29650,29700,28100,28450,589151
20200715,29950,30200,28600,29250,607029
20200714,29950,30350,29250,29650,498275
20200713,29000,30650,29000,30350,904019
20200710,29500,30250,28550,29000,677741
20200709,30300,31500,29100,29500,1450758
20200708,28900,29600,28450,29600,1063720
20200707,28150,29800,27450,29200,1921539
20200706,27900,28600,27200,28400,1270231
20200703,27950,28700,27450,28200,1882419
20200702,24500,29800,23850,28000,11727734
20200701,22200,24550,22200,24200,3711728
20200630,20650,22200,20450,21900,841533
20200629,19950,21600,19950,20250,450385
20200626,21600,21600,20200,20500,544536
20200625,21650,21950,20950,21300,416413
20200624,22750,22800,22100,22250,563326
20200623,20700,23950,20650,22650,1831057
20200622,20600,21250,20450,20600,273111
20200619,20250,20600,19350,20600,364190
20200618,20950,20950,19750,20100,333269
20200617,20450,21100,20000,20750,340767
20200616,20050,21150,20050,20750,425837
20200615,21350,21450,19450,19450,579155
20200612,21000,21950,20900,21650,506208
20200611,22400,22750,21750,22200,449593
20200610,22700,22950,22100,22550,350107
20200609,22050,23350,22000,22450,920190
20200608,21400,22550,21250,21700,606523
20200605,21550,21600,20700,21100,453692
20200604,21000,22000,20800,21400,1103720
20200603,20250,23750,19500,20550,6031853
20200602,18900,19600,18750,19350,297309
20200601,18400,19000,18400,18700,255085
20200529,19000,19400,18350,18350,290645
20200528,19400,19600,18150,18450,370709
20200527,19550,19750,19100,19300,229829
20200526,19700,19950,19300,19900,297024
20200525,19800,19850,19350,19550,256405
20200522,19950,19950,19050,19600,362094
20200521,19050,19850,18900,19800,429848
20200520,18850,19050,18650,19000,168813
20200519,19200,19300,18500,18800,215357
20200518,19550,19800,18750,19000,354863
20200515,19750,19800,18750,19200,336215
20200514,19300,19850,19100,19600,461890
20200513,19100,19750,18750,19300,690726
20200512,17350,20700,17300,19100,3891363
20200511,16950,17450,16850,17150,293151
20200508,17200,17300,17000,17100,217489
20200507,17000,17150,16650,17150,289114
20200506,16850,16950,16400,16700,194270
20200504,16650,16900,16200,16500,204367
20200429,16900,17000,16500,16650,222333
20200428,17100,17200,16500,16850,293539
20200427,16300,17150,16250,17000,412880
20200424,16350,16850,16100,16250,344492
20200423,16500,16550,16200,16300,250384
20200422,15600,16500,15450,16450,330411
20200421,16200,16350,15400,15950,410368
20200420,16000,16300,15700,16300,460075
20200417,14850,16700,14750,16250,1371514
20200416,14350,14750,14100,14650,208998
20200414,14450,14850,14100,14350,280711
20200413,13850,15100,13650,14100,772683
20200410,13900,14000,13200,13750,297995
20200409,14000,14150,13700,14000,292359
20200408,13850,14050,13550,13650,318108
20200407,14000,14300,13600,13950,341281
20200406,13400,13900,13300,13800,399271
20200403,13450,13650,13000,13250,358158
20200402,13000,13350,12550,13350,458362
20200401,12550,13800,12500,12600,921893
20200331,12950,13250,12450,12650,594839
20200330,12400,12950,12200,12850,546238
20200327,13200,13950,12400,12800,849844
20200326,12800,13200,12500,12700,625339
20200325,13000,13350,12150,13000,983143
20200324,10550,13050,10250,12950,1310466
20200323,10600,10850,10100,10100,824743
20200320,9050,11400,9050,11400,1086347
20200319,11000,11200,8510,8800,728218
20200318,11500,11700,10450,10450,330371
20200317,10550,11750,10250,11500,358473
20200316,12250,12600,11250,11250,299836
20200313,12000,12950,11550,12050,459792
20200312,14100,14400,12850,13050,544586
20200311,14900,15000,14100,14300,178771
20200310,14450,15300,14350,14950,191339
20200309,15150,15300,14600,14650,174480
20200306,15800,15800,15250,15500,101610
20200305,15800,15900,15450,15900,117749
20200304,14900,15850,14900,15750,143850
20200303,15600,15600,15050,15100,109055
20200302,14800,15250,14450,15250,159805
20200228,15200,15250,14350,14500,252296
20200227,16300,16300,15100,15400,229659
20200226,16200,16450,15750,16100,170053
20200225,16100,16300,15850,16250,195689
20200224,16250,16400,15650,16050,332776
20200221,16300,16650,16000,16250,175371
20200220,16600,16800,16350,16450,96020
20200219,16400,16650,16200,16600,120246
20200218,16850,16850,16250,16450,138578
20200217,16400,16900,16100,16850,192649
20200214,16150,16500,16100,16250,127405
20200213,16300,16400,16050,16150,140019
20200212,16450,16500,16150,16400,114063
20200211,16000,16600,16000,16550,257536
20200210,15400,16100,15250,16000,202911
20200207,15400,15650,15250,15450,154049
20200206,15000,15400,15000,15350,118262
20200205,15200,15450,15050,15150,125935
20200204,14800,15150,14700,15150,88248
20200203,14500,15050,14400,14900,180764
20200131,15100,15350,14550,14650,162204
20200130,15250,15400,14900,15050,145379
20200129,15250,15400,14950,15350,147291
20200128,15550,15950,14850,15050,390588
20200123,15850,16750,15750,16200,293746
20200122,15750,16050,15650,15950,105949
20200121,16000,16200,15600,15650,148188
20200120,16550,16550,15900,16000,114955
20200117,16250,16600,16200,16450,84759
20200116,16200,16600,16100,16250,150115
20200115,16150,16400,16100,16150,111819
20200114,16350,16900,16050,16250,239834
20200113,15750,16600,15650,16250,289508
20200110,15200,15700,15150,15600,100265
20200109,14950,15250,14900,15250,128258
20200108,15400,15400,14600,14650,166209
20200107,15300,15600,15300,15400,60349
20200106,15700,15800,15250,15250,128018
20200103,16000,16200,15800,15850,110994
20200102,16200,16350,15800,15900,95111
20191230,16150,16300,16050,16300,68227
20191227,16100,16300,16050,16250,77921
20191226,15750,16250,15600,16250,137087
20191224,15800,15900,15650,15750,57988
20191223,16050,16200,15600,15850,102994
20191220,16100,16200,15900,15950,51131
20191219,15700,16150,15700,16150,88472
20191218,16000,16000,15600,15700,72351
20191217,16050,16100,15800,15950,72424
20191216,16100,16250,15800,16050,47504
20191213,16000,16350,15900,16250,104735
20191212,15700,16050,15600,15750,183837
20191211,15500,15800,15500,15750,38859
20191210,15550,15650,15400,15550,31725
20191209,15750,15850,15350,15550,49181
20191206,15250,15750,15250,15750,59907
20191205,15400,15650,15250,15250,71771
20191204,15550,15600,15200,15500,72847
20191203,15650,15800,15350,15700,61607
20191202,15800,16200,15800,15800,68677
20191129,15850,16100,15650,15800,75693
20191128,16100,16300,15800,15950,57947
20191127,16400,16450,16100,16200,60960
20191126,16150,16500,16050,16350,81708
20191125,15800,16300,15700,16300,112040
20191122,15600,15950,15400,15800,127289
20191121,16150,16200,15500,15600,172215
20191120,16550,16600,16050,16050,117659
20191119,17000,17000,16350,16550,202490
20191118,17050,17150,16750,17100,119467
20191115,16750,17200,16700,17150,70733
20191114,17150,17150,16650,16750,94723
20191113,17450,17550,17050,17050,89038
20191112,17200,17550,16950,17550,117452
