DATE,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200731,3800,3830,3745,3745,472867
20200730,3775,3865,3690,3800,1039826
20200729,3640,3790,3615,3775,941399
20200728,3460,3965,3460,3680,6754973
20200727,3380,3515,3375,3460,282890
20200724,3555,3555,3410,3450,624711
20200723,3650,3675,3575,3575,546440
20200722,3655,3665,3565,3660,632466
20200721,3800,3810,3605,3655,1241697
20200720,3820,3880,3785,3785,707348
20200717,3780,3850,3750,3790,696291
20200716,3780,3835,3670,3725,900455
20200715,3800,3800,3670,3740,844607
20200714,3745,3825,3695,3740,1294911
20200713,3700,3750,3660,3715,890694
20200710,3735,3795,3565,3650,1424443
20200709,3440,3745,3440,3735,2717628
20200708,3405,3480,3330,3440,586465
20200707,3415,3440,3375,3385,436789
20200706,3490,3490,3380,3415,423544
20200703,3350,3435,3300,3370,428128
20200702,3305,3355,3260,3355,305867
20200701,3245,3380,3240,3260,518989
20200630,3340,3385,3240,3245,570300
20200629,3230,3300,3215,3235,393943
20200626,3270,3460,3265,3340,1491858
20200625,3200,3280,3170,3240,352511
20200624,3305,3330,3200,3245,679427
20200623,3330,3390,3255,3300,411094
20200622,3500,3525,3290,3330,1417063
20200619,3475,3685,3400,3610,987665
20200618,3410,3440,3355,3415,244638
20200617,3390,3520,3300,3400,469659
20200616,3215,3425,3215,3410,541894
20200615,3585,3585,3155,3155,1238936
20200612,3505,3640,3500,3595,921011
20200611,3920,3920,3760,3800,893517
20200610,3730,4005,3665,3940,2860685
20200609,3745,3805,3700,3730,412334
20200608,3810,3825,3720,3735,488157
20200605,3830,3850,3750,3800,353974
20200604,3795,3855,3750,3830,538513
20200603,3870,3900,3790,3795,475030
20200602,3870,3895,3830,3850,493198
20200601,3715,3880,3715,3860,629566
20200529,3800,3860,3650,3720,720228
20200528,3870,3935,3650,3805,1533823
20200527,4060,4065,3860,3915,1272070
20200526,4120,4145,4000,4055,723683
20200525,4005,4085,4005,4070,561605
20200522,4070,4155,4000,4005,1151956
20200521,4090,4495,3925,4085,5377834
20200520,4010,4085,3885,4040,1707822
20200519,4475,4520,3925,3970,4310894
20200518,4560,4570,4425,4425,1164008
20200515,4570,4655,4475,4555,1205149
20200514,4560,4670,4510,4540,1220577
20200513,4525,4745,4525,4610,1819712
20200512,4780,4785,4515,4655,2051019
20200511,4500,4740,4360,4685,4642554
20200508,4430,4490,4370,4450,1849902
20200507,4290,4445,4250,4305,1492965
20200506,4350,4375,4230,4290,1279749
20200504,4150,4420,4130,4295,1733273
20200429,4590,4630,4365,4370,2255226
20200428,4510,4685,4470,4580,3639754
20200427,4435,4625,4435,4505,2626882
20200424,4400,4565,4280,4400,2868152
20200423,4685,4840,4320,4370,6626584
20200422,4155,4500,4080,4460,5965653
20200421,4265,4315,3855,4155,3719739
20200420,4450,4450,4200,4275,2772791
20200417,4300,4515,4220,4405,6127830
20200416,3885,4600,3775,4310,13354390
20200414,3450,3850,3440,3850,4220793
20200413,3620,3660,3400,3415,1177990
20200410,3680,3800,3370,3675,2885739
20200409,3645,3890,3605,3630,4360214
20200408,3540,3580,3455,3505,1266557
20200407,3660,3665,3415,3610,2494448
20200406,3260,3525,3255,3505,2885596
20200403,3205,3350,3065,3195,1532873
20200402,3060,3135,2845,3120,1217658
20200401,3195,3400,2965,3055,2706603
20200331,3000,3295,2850,3070,3568073
20200330,2310,2765,2250,2720,2412674
20200327,2535,2555,2325,2415,1201384
20200326,2445,2565,2320,2430,1287240
20200325,2355,2460,2305,2390,1176853
20200324,2180,2250,2070,2250,830288
20200323,1985,2090,1900,2000,682436
20200320,2010,2235,1960,2150,1109733
20200319,2305,2390,1830,1905,1697349
20200318,2505,2590,2260,2260,1118830
20200317,2200,2570,2200,2500,1274193
20200316,2795,2825,2510,2510,1247565
20200313,2760,2810,2320,2720,2471993
20200312,3260,3300,2945,3035,1391084
20200311,3420,3420,3225,3330,1298038
20200310,3210,3425,3180,3425,752691
20200309,3425,3425,3270,3295,733684
20200306,3555,3615,3495,3515,547054
20200305,3700,3700,3515,3620,766037
20200304,3420,3640,3395,3605,869372
20200303,3695,3710,3465,3470,1027561
20200302,3355,3550,3275,3520,1311046
20200228,3480,3530,3225,3300,1673491
20200227,3910,3910,3615,3620,1865756
20200226,4030,4140,3880,3965,2498327
20200225,3580,4160,3550,4160,2465783
20200224,3770,3795,3450,3610,1161575
20200221,3785,3940,3740,3865,737431
20200220,3970,3970,3825,3900,674344
20200219,3850,3930,3775,3880,879483
20200218,3900,3980,3770,3845,1093349
20200217,3735,3930,3685,3875,1717014
20200214,3470,3790,3470,3735,2478213
20200213,3410,3500,3330,3465,535113
20200212,3440,3540,3375,3380,862356
20200211,3365,3445,3305,3410,511780
20200210,3330,3355,3270,3345,334958
20200207,3210,3500,3200,3335,1637072
20200206,3230,3280,3180,3220,246929
20200205,3330,3330,3175,3190,456508
20200204,3305,3425,3240,3280,411622
20200203,3190,3325,3060,3325,716711
20200131,3405,3480,3205,3235,557641
20200130,3465,3540,3350,3405,606108
20200129,3350,3540,3340,3450,1776533
20200128,3165,3340,3045,3340,701681
20200123,3145,3295,3140,3280,852492
20200122,3160,3170,3110,3145,206413
20200121,3170,3180,3065,3125,453909
20200120,3200,3300,3105,3170,918102
20200117,3100,3175,3070,3170,517120
