DATE,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200731,336000,344000,335500,343500,1067569
20200730,336000,337000,331500,332000,615872
20200729,329000,333000,325000,331500,618435
20200728,332000,336000,328500,329500,873063
20200727,321000,329500,320500,326500,603322
20200724,325000,333000,322000,324500,907643
20200723,316500,329500,315000,329500,1260435
20200722,310500,321500,306000,318000,1159298
20200721,323500,326000,311500,316000,1676630
20200720,325000,325000,310000,310000,1534422
20200717,319000,327000,314000,325000,1268587
20200716,332000,335500,319000,322000,1941508
20200715,344000,349500,332000,337500,1487417
20200714,340500,346500,340000,343000,1212519
20200713,359000,361000,345000,352000,1391744
20200710,351000,368000,345500,355500,2566935
20200709,335000,355500,332000,355500,2463503
20200708,312000,328000,305000,328000,1869663
20200707,306500,318000,304000,310500,1552820
20200706,298000,307500,297000,300500,1344851
20200703,289500,297000,284000,294000,1604493
20200702,273500,285500,273000,285500,1378545
20200701,271500,275000,267500,269500,578023
20200630,272000,273000,267500,267500,624089
20200629,269000,273500,266000,267500,778818
20200626,279500,280000,268000,274500,812726
20200625,278500,282000,273500,274500,900258
20200624,281500,284000,275000,282500,1081233
20200623,279000,289000,277000,281500,2166267
20200622,263500,276000,260500,274000,2008656
20200619,267500,269500,262000,263500,920126
20200618,264500,267000,260500,263500,981144
20200617,261500,268000,258000,263000,1162204
20200616,260500,263000,258000,263000,915456
20200615,266000,271000,250000,252500,1549230
20200612,256500,268000,256000,266000,1688975
20200611,264000,268000,261000,265000,1724551
20200610,256500,263500,256500,262000,1575452
20200609,255500,259500,252500,254500,834862
20200608,252500,258000,248500,256500,1417078
20200605,253000,253500,247500,251000,1007264
20200604,247500,257000,247000,254000,1228950
20200603,259500,261500,247500,249500,2302391
20200602,262500,263000,257000,259500,978846
20200601,263500,266000,259500,264000,1083698
20200529,263500,267500,257500,263500,1645822
20200528,257500,270000,252500,267000,2495048
20200527,262000,267000,257000,260500,2015974
20200526,273500,279500,261000,270000,3274293
20200525,251000,270000,249000,268000,2653776
20200522,237500,248500,235000,247000,1887064
20200521,237500,240000,234500,237500,1408737
20200520,223500,234500,222000,231500,1773960
20200519,221500,222500,214000,220000,1308903
20200518,221500,225500,218500,221000,744533
20200515,228500,231500,216000,221500,1524083
20200514,216000,228000,214000,225000,1459813
20200513,211500,216500,211500,216500,1113608
20200512,209000,216500,206000,214500,1563095
20200511,207000,211500,206500,207500,1048413
20200508,206500,210000,204000,206000,1405404
20200507,199500,207500,198500,206000,2629709
20200506,189000,200000,188000,199500,2035947
20200504,181500,190000,180000,186500,1019409
20200429,184000,186500,182500,184000,659512
20200428,185500,186500,181500,185000,668638
20200427,183000,187000,181500,184000,721963
20200424,184500,188500,182000,183000,1073684
20200423,181500,186500,180500,185500,1509799
20200422,174000,177000,171500,177000,686146
20200421,176500,177500,168500,175500,1232126
20200420,172500,179000,172000,175000,859303
20200417,169000,172500,167500,172000,947794
20200416,159000,167000,158500,165500,1005533
20200414,159500,160500,158000,159500,430759
20200413,161000,161000,157000,157500,470251
20200410,158500,161500,157000,161000,753323
20200409,161000,161000,157500,158000,726920
20200408,159000,160500,158000,158000,738303
20200407,163500,164500,158500,160000,920798
20200406,158500,161000,157500,160500,807805
20200403,158500,159000,155000,157500,545749
20200402,152000,157000,149000,157000,1043790
20200401,156000,158500,150000,150500,794295
20200331,155000,159000,152000,155500,1042474
