DATE,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200731,99800,101000,99100,99600,8475
20200730,100000,101500,99300,99800,11462
20200729,102000,102500,99900,100500,15345
20200728,102000,106000,101500,103000,21678
20200727,103000,105000,102000,103000,16815
20200724,99800,105000,99100,103000,28139
20200723,100500,101500,99400,100500,21841
20200722,98800,101000,98800,100500,27485
20200721,101000,101000,98500,99200,30850
20200720,96200,110000,96200,99500,82065
20200717,95900,96900,94900,96200,13910
20200716,94100,95900,93700,95900,16772
20200715,95000,95100,93600,94600,18923
20200714,94100,94800,93700,94600,10045
20200713,95300,95400,93000,95000,10763
20200710,97500,97800,94000,94600,17148
20200709,98900,98900,97400,97500,12645
20200708,98500,99400,97500,98900,16213
20200707,99400,99400,97500,98700,14480
20200706,96600,101500,95700,99300,21562
20200703,95900,97100,95100,96600,9349
20200702,94700,96300,94700,95700,22011
20200701,96000,96500,94500,94500,22018
20200630,99300,99500,94800,95200,18986
20200629,95600,97200,95400,96300,11567
20200626,98100,98700,95600,96700,22737
20200625,101000,101000,97600,97900,27231
20200624,101000,103000,99500,102000,20292
20200623,105000,106500,100000,101000,28329
20200622,102000,104000,100000,101500,19342
20200619,105500,107000,100500,102000,27570
20200618,106000,108500,104500,105500,17826
20200617,111000,115000,105000,108000,37120
20200616,108500,111000,105000,109500,55817
20200615,104000,116500,101000,104000,122077
20200612,94800,102500,94200,99300,53618
20200611,96900,99100,93900,95200,24302
20200610,95800,99500,95700,97800,15554
20200609,95400,98200,94700,95900,16531
20200608,96200,96600,94500,94900,10743
20200605,94800,95800,93200,95300,10457
20200604,94300,95800,93700,94400,12007
20200603,93100,95200,93100,94400,15024
20200602,92300,94500,91600,94300,9876
20200601,90100,94300,90100,94200,7644
20200529,93100,94300,89900,89900,15103
20200528,96300,96400,92700,92700,16497
20200527,96700,98200,96500,97300,10586
20200526,97600,98600,96300,98000,13413
20200525,93000,98400,92500,97400,25884
20200522,96000,96000,91100,91300,16145
20200521,88900,95700,87900,95700,33413
20200520,88600,89400,87500,89100,8694
20200519,87700,88500,87000,88300,13177
20200518,86400,87500,85300,86700,11078
20200515,86100,86300,85200,85900,8807
20200514,87100,87100,85100,85400,8932
20200513,85800,86800,84900,86700,10736
20200512,89100,89200,86100,86300,12203
20200511,85800,89500,85800,89100,16329
20200508,86300,87500,85600,86400,9411
20200507,85100,86300,84900,85400,8930
20200506,85600,86100,84300,86100,10926
20200504,86200,86600,83300,83900,18550
20200429,86700,88300,86400,87400,10393
20200428,87100,87500,86500,87000,8897
20200427,86200,88400,86200,87800,5529
20200424,87300,88500,86400,86900,12433
20200423,86100,90900,85500,88600,27025
20200422,87900,87900,85000,86900,10093
20200421,89700,89800,86700,87300,15937
20200420,88600,90300,88400,89500,11410
20200417,88900,90400,88600,89900,13393
20200416,86800,89300,86800,88900,17980
20200414,89000,90900,87400,88300,15157
20200413,84900,89900,84900,88300,21113
20200410,85500,86400,84000,86100,21529
20200409,85900,86700,84600,86100,16263
20200408,85800,87600,85500,85800,14693
