DATE,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200731,37250,37250,36150,36300,529978
20200730,37900,38100,37200,37250,406592
20200729,38400,38450,37600,37800,329535
20200728,38750,38950,38000,38350,334091
20200727,37800,38600,37450,38400,405838
20200724,37500,38600,37150,37600,539458
20200723,38800,38950,37200,38300,1700001
20200722,40700,41300,38300,39600,962718
20200721,41300,41400,40200,40450,489774
20200720,39950,41000,39650,40950,918532
20200717,39150,40200,39150,39600,429954
20200716,40600,40950,38850,39250,1099010
20200715,38500,40250,38350,39750,1302862
20200714,38250,38850,38050,38350,398151
20200713,38750,38900,37950,38900,460281
20200710,39400,39600,38000,38400,623389
20200709,40000,40000,38600,39300,639858
20200708,38750,39700,38400,39400,1070736
20200707,37800,38900,37400,38400,1166130
20200706,37500,37500,36800,37100,303432
20200703,37600,37650,36750,37400,459331
20200702,36100,37350,35700,37350,661157
20200701,36600,36850,35750,35850,376314
20200630,37500,37650,35800,36300,652943
20200629,36500,37500,36050,36750,828546
20200626,35300,37700,34800,36900,2688635
20200625,34500,34600,33850,34050,338437
20200624,34050,35300,34050,35150,402045
20200623,34600,35200,34000,34000,299781
20200622,35000,35400,34500,34650,300824
20200619,35550,35650,34350,35100,322586
20200618,35800,35850,35000,35400,442407
20200617,34900,35750,33700,35050,948205
20200616,31800,34000,31650,33700,490163
20200615,33800,33800,30950,30950,591712
20200612,33000,33900,33000,33850,407418
20200611,35500,35550,34450,34600,445454
20200610,35050,36100,35050,35300,443015
20200609,35800,35850,35000,35000,461723
20200608,36100,36100,35300,35450,385014
20200605,36150,36150,35350,35700,448152
20200604,36550,36800,35800,36000,518478
20200603,36750,36850,36200,36300,285221
20200602,36900,37000,36250,36550,275226
20200601,36000,36900,35700,36650,347174
20200529,35300,36050,35050,36050,346583
20200528,37250,37400,35500,35700,616516
20200527,37450,38200,36550,36700,815932
20200526,37650,38050,37000,37800,481014
20200525,37850,37900,36550,37650,507753
