,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200731,10450,10600,10300,10400,72536
20200730,10700,10800,10400,10500,150808
20200729,10350,10700,10300,10600,286131
20200728,10050,10450,9930,10250,164873
20200727,10100,10250,9870,10000,91559
20200724,10200,10300,9840,10000,179073
20200723,10350,10350,10100,10300,102978
20200722,10450,10700,10250,10350,110058
20200721,10700,10750,10300,10450,125505
20200720,10750,10950,10350,10500,134411
20200717,10700,10950,10650,10850,85305
20200716,11300,11300,10650,10800,190790
20200715,11000,11400,10800,11200,305365
20200714,10800,11250,10750,10900,203864
20200713,11050,11050,10700,11000,151936
20200710,11700,11750,10700,10850,467091
20200709,10400,11050,10150,11050,782847
20200708,10000,10400,9960,10300,218748
20200707,10100,10250,9990,10000,178043
20200706,10400,10400,10000,10050,110349
20200703,10000,10100,9890,10050,100482
20200702,9830,10250,9830,10000,234871
20200701,10350,10350,9790,9860,192535
20200630,9910,10250,9560,10100,285057
20200629,10000,10750,9700,9700,835013
20200626,9490,10150,9490,9900,454475
20200625,9610,9670,9280,9410,186304
20200624,9570,9910,9480,9760,187544
20200623,9580,9810,9450,9450,135708
20200622,9750,9760,9550,9580,135507
20200619,10000,10000,9750,9800,130689
20200618,9910,10100,9800,9880,161016
20200617,10050,10400,9610,9920,344510
20200616,9050,10800,9050,10100,1069052
20200615,9980,10200,8810,8810,535627
20200612,9830,10200,9800,10100,408749
20200611,10950,11150,10400,10500,320366
20200610,10900,11500,10700,11000,455112
20200609,11150,11200,10700,10800,306928
20200608,11450,11600,11000,11050,368652
20200605,11800,11850,11300,11400,463954
20200604,11350,12300,11250,11800,2869159
20200603,11300,11500,11150,11250,533663
20200602,10950,11550,10850,11300,865917
20200601,10700,11150,10650,11050,699402
20200529,11250,11400,10550,10600,1061700
20200528,12350,12900,10950,11150,4061541
20200527,10050,12450,9980,11900,11939051
20200526,10150,10200,9840,9980,263336
20200525,10150,10150,9910,10000,254617
20200522,10200,10600,9980,10000,739897
20200521,9980,10350,9600,10350,864614
20200520,10350,10400,9800,9800,1226071
20200519,9290,9880,9240,9880,969945
20200518,9090,9400,8940,9250,336678
20200515,9390,9390,9090,9190,189882
20200514,9300,9500,9210,9300,436249
20200513,9160,9300,9060,9290,189664
20200512,9000,9220,8950,9160,159415
20200511,9400,9400,8980,9060,216299
20200508,9420,9500,9230,9300,270433
20200507,8860,9470,8800,9380,742935
20200506,8600,8870,8600,8820,294325
20200504,8440,8640,8200,8510,141090
20200429,8500,8900,8390,8510,260540
20200428,8360,8650,8360,8500,168281
20200427,8420,8580,8310,8450,200583
20200424,8750,8750,8340,8390,267318
20200423,8560,9150,8500,8750,1216033
20200422,7890,8010,7600,8000,148021
20200421,8250,8350,7430,8090,318578
20200420,8060,8450,8060,8300,221020
20200417,8000,8080,7860,7990,151602
20200416,7790,7980,7620,7850,168607
20200414,7350,7630,7350,7620,151856
20200413,7790,7790,7300,7300,188652
20200410,7960,8040,7200,7710,247604
20200409,8020,8260,7940,7960,225652
20200408,7720,8350,7360,7920,689799
20200407,7300,7350,6750,7260,339904
20200406,6660,7080,6520,7040,212354
20200403,6710,6840,6510,6620,172684
20200402,6680,6940,6260,6600,182247
20200401,6220,7120,6220,6480,407878
20200331,5650,6220,5640,6220,255203
20200330,5100,5480,5030,5480,156134
20200327,5350,5570,5060,5250,273580
20200326,5080,5350,4865,5150,290326
20200325,4700,5160,4590,4890,316739
20200324,4310,4545,4210,4490,191398
20200323,4095,4400,3980,4160,187169
20200320,4060,4465,4060,4450,312687
20200319,5410,5570,3900,3900,526737
20200318,5900,6110,5300,5300,215835
20200317,5400,6110,5360,5860,289595
20200316,6450,6700,5990,5990,193903
20200313,6320,6860,5890,6450,376881
20200312,7980,8080,7360,7400,177398
20200311,8610,8770,8040,8130,132397
20200310,8310,8640,8220,8640,135449
20200309,8980,8980,8560,8600,122091
20200306,9110,9380,9080,9160,61553
20200305,9290,9440,9170,9310,76259
20200304,8940,9230,8900,9230,107559
20200303,8920,9240,8890,9010,155550
20200302,8420,8930,8420,8750,95305
20200228,9020,9190,8470,8530,155459
20200227,9500,9720,9050,9160,168522
20200226,9520,9730,9380,9550,111134
20200225,9300,9830,9200,9750,157003
20200224,9520,9670,9310,9340,178863
20200221,10250,10350,9900,9910,245897
20200220,10450,10650,10200,10300,150460
20200219,10800,10850,10300,10550,183068
20200218,11050,11050,10600,10700,307500
20200217,10350,11150,10300,11100,546339
20200214,10350,10550,10300,10450,95300
20200213,10650,10800,10350,10350,155820
20200212,10250,10900,10250,10650,331509
20200211,10300,10300,10000,10200,76062
20200210,10000,10350,10000,10250,112535
20200207,10300,10350,10050,10250,109566
20200206,10050,10200,9970,10150,112489
20200205,10100,10150,9900,10050,80869
20200204,9660,9960,9660,9960,82329
20200203,9190,9720,9010,9700,214441
20200131,10100,10100,9470,9500,219834
20200130,10150,10450,9810,9950,366551
20200129,10050,10350,10000,10200,152059
20200128,10000,10150,9800,10000,345776
20200123,10750,10900,10450,10500,117891
20200122,10500,10800,10300,10800,154671
20200121,10750,11000,10550,10550,163463
20200120,11050,11150,10650,10700,152593
20200117,11150,11250,10900,11000,145936
20200116,11250,11400,10750,11000,258773
20200115,11150,11600,11050,11100,621020
20200114,11000,11350,10950,11000,159706
20200113,11450,11500,10800,11000,287897
20200110,10700,11100,10600,11100,188106
20200109,10250,10750,10200,10650,192531
20200108,10450,10550,9900,9900,375970
20200107,10550,10800,10500,10600,112246
20200106,10850,11000,10350,10400,256373
20200103,11000,11150,10800,11050,226339
20200102,10550,11150,10500,11050,269076
20191230,10500,10650,10350,10600,99080
20191227,10250,10550,10250,10500,114143
20191226,10050,10350,10050,10250,132624
20191224,10550,10550,9990,9990,276555
20191223,10700,10900,10500,10500,139674
20191220,10650,10850,10550,10700,156266
20191219,11000,11100,10450,10550,293399
20191218,11300,11500,10950,10950,221189
20191217,11300,11450,11200,11250,132128
20191216,11500,11550,11250,11300,149539
20191213,11500,11500,11300,11450,203684
20191212,11600,11600,11150,11250,236802
20191211,11450,11750,11350,11500,407058
20191210,11700,11800,11350,11400,435606
20191209,11200,11650,10950,11500,625471
20191206,10650,11250,10650,11100,538854
20191205,10800,11050,10500,10600,305393
20191204,10700,10850,10400,10750,255831
20191203,10500,11650,10300,10850,1196597
20191202,10650,11400,10550,10700,592370
20191129,10900,11000,10500,10500,247981
20191128,11200,11400,10750,10900,311927
20191127,11450,11500,10950,11050,254998
20191126,11050,11550,10950,11500,418062
20191125,10800,11100,10600,11000,394479
20191122,11000,11200,10500,10650,578786
20191121,11400,12650,11000,11000,3126364
20191120,11450,11800,10950,11050,433849
20191119,12000,12000,11400,11450,266221
20191118,11350,11950,11300,11950,396755
20191115,12200,12350,11650,11850,368828
20191114,11800,12100,11300,11950,491058
20191113,11500,12000,11400,11700,407272
20191112,12400,12600,11600,11800,648979
20191111,12300,12700,12100,12650,576996
20191108,12650,12850,12200,12250,628175
20191107,13650,13750,12300,12700,1156219
20191106,13100,14000,13000,13850,2018241
20191105,13050,13450,12550,13250,1562810
20191104,13350,13550,12800,12900,1233543
20191101,13550,14200,13050,13350,2016671
20191031,14300,14750,13250,13850,3665100
20191030,14250,16950,14050,14050,13279596
20191029,15150,15250,13700,14700,6305452
20191028,15800,17700,14100,15050,14079958
20191025,10550,13700,10350,13700,3775607
20191024,9560,10850,9560,10550,933726
20191023,10050,10150,9600,9600,258627
20191022,10800,10900,9910,9960,547652
20191021,11150,12200,10600,10600,2439015
20191018,10300,10650,10100,10300,128421
20191017,10700,10750,10250,10300,89652
20191016,10400,10650,10200,10600,111490
20191015,10700,10900,10300,10400,139903
