DATE,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20200803,8490,8510,8390,8390,1485135
20200804,8380,8570,8380,8570,1390921
20200805,8570,8610,8500,8560,1170169
20200806,8550,8790,8550,8670,2423276
20200807,8680,8710,8530,8640,1753193
20200810,8650,8890,8600,8890,2647901
20200811,8990,9100,8900,9050,3535877
20200812,9150,9300,8980,9240,3014579
20200813,9200,9300,9110,9210,2968102
20200814,9210,9210,9040,9100,1551834
20200818,9000,9070,8760,8760,2145369
20200819,8750,8860,8750,8760,1080761
20200820,8710,8760,8450,8450,1834558
20200821,8480,8690,8480,8590,1172932
20200824,8640,8700,8500,8680,1293520
20200825,8760,8850,8700,8810,1499954
20200826,8760,8800,8610,8800,1590558
20200827,8720,8750,8610,8610,1028686
